sp,step,count,score,phylodist
Crocidura leucodon,initial,1,0.0024875621890547263,144.2394031279
Crocidura leucodon,initial,1,0.04983922829581994,144.2394031279
Crocidura olivieri,initial,1,0.0024875621890547263,144.239403128
Crocidura olivieri,initial,1,0.10776545166402536,144.239403128
Crocidura russula,initial,3,0.007444168734491315,144.2394036089
Crocidura russula,initial,3,0.14488188976377953,144.2394036089
Crocidura zaphiri,initial,1,0.0024875621890547263,144.2394029116
Crocidura zaphiri,initial,1,0.10776545166402536,144.2394029116
Crocuta crocuta,initial,3,0.007317073170731708,144.2394189159
Crocuta crocuta,initial,3,0.1057542768273717,144.2394189159
Ctenodactylus gundi,initial,1,0.0024875621890547263,136.83150215
Ctenodactylus gundi,initial,1,0.10776545166402536,136.83150215
Cuniculus paca,initial,1,0.0024875621890547263,136.831509378
Cuniculus paca,initial,1,0.06763285024154589,136.831509378
Cyclopes didactylus,initial,1,0.0024875621890547263,151.456981225
Cyclopes didactylus,initial,1,0.05929487179487179,151.456981225
Cynictis penicillata,initial,1,0.0024875621890547263,144.2394207737
Cynictis penicillata,initial,1,0.03376205787781351,144.2394207737
Cynomops abrasus,initial,1,0.0024875621890547263,144.23942101296
Cynomops abrasus,initial,1,0.03376205787781351,144.23942101296
Cynomops planirostris,initial,1,0.0024875621890547263,144.2394210428
Cynomops planirostris,initial,1,0.03376205787781351,144.2394210428
Cynomys ludovicianus,initial,3,0.007462686567164179,136.83149859
Cynomys ludovicianus,initial,3,0.09455128205128205,136.83149859
Cynopterus brachyotis,initial,4,0.009852216748768473,144.239407152
Cynopterus brachyotis,initial,4,0.15863141524105753,144.239407152
Cynopterus sphinx,initial,7,0.017369727047146403,144.23940804941
Cynopterus sphinx,initial,7,0.24707602339181287,144.23940804941
Cystophora cristata,initial,2,0.0049504950495049506,144.239420693
Cystophora cristata,initial,2,0.11181102362204724,144.239420693
Dama dama,initial,8,0.01927710843373494,144.2393962846
Dama dama,initial,8,0.2242152466367713,144.2393962846
Damaliscus lunatus,initial,1,0.0024390243902439024,144.23939691141
Damaliscus lunatus,initial,1,0.07111111111111111,144.23939691141
Damaliscus pygargus,initial,1,0.0024630541871921183,144.23939691141
Damaliscus pygargus,initial,1,0.0671875,144.23939691141
Dasymys incomtus,initial,2,0.004962779156327543,136.8315040076
Dasymys incomtus,initial,2,0.14241001564945227,136.8315040076
Dasyprocta fuliginosa,initial,1,0.0024875621890547263,136.8315088987
Dasyprocta fuliginosa,initial,1,0.0032258064516129032,136.8315088987
Dasyprocta leporina,initial,3,0.007462686567164179,136.8315093803
Dasyprocta leporina,initial,3,0.09424920127795527,136.8315093803
Dasyprocta punctata,initial,2,0.004975124378109453,136.8315099588
Dasyprocta punctata,initial,2,0.12044374009508717,136.8315099588
Dasypus novemcinctus,initial,6,0.01488833746898263,151.4569737077
Dasypus novemcinctus,initial,6,0.2028301886792453,151.4569737077
Delphinapterus leucas,initial,1,0.0024813895781637717,144.2393979321
Delphinapterus leucas,initial,1,0.0679304897314376,144.2393979321
Dendrolagus goodfellowi,initial,1,0.0024875621890547263,324.15762122704
Dendrolagus goodfellowi,initial,1,0.08201892744479496,324.15762122704
Dermanura cinerea,initial,4,0.009950248756218905,
Dermanura cinerea,initial,4,0.1078125,
Dermanura phaeotis,initial,6,0.014925373134328358,144.2393903169
Dermanura phaeotis,initial,6,0.16535433070866143,144.2393903169
Dermanura tolteca,initial,2,0.004975124378109453,
Dermanura tolteca,initial,2,0.03542673107890499,
Desmodillus auricularis,initial,1,0.0024875621890547263,136.8315052255
Desmodillus auricularis,initial,1,0.037037037037037035,136.8315052255
Desmodus rotundus,initial,8,0.019753086419753086,144.2393920386
Desmodus rotundus,initial,8,0.14727540500736377,144.2393920386
Diaemus youngi,initial,1,0.0024875621890547263,144.239392874
Diaemus youngi,initial,1,0.03376205787781351,144.239392874
Diceros bicornis,initial,4,0.009779951100244499,144.23943141
Diceros bicornis,initial,4,0.19389312977099238,144.23943141
Diclidurus albus,initial,1,0.0024875621890547263,144.2394208707
Diclidurus albus,initial,1,0.03376205787781351,144.2394208707
Dicrostonyx groenlandicus,initial,1,0.0024875621890547263,136.8315086664
Dicrostonyx groenlandicus,initial,1,0.07961783439490445,136.8315086664
