virus,host
Adeno-associated dependoparvovirus A,Miopithecus ogouensis
Adeno-associated dependoparvovirus A,Miopithecus talapoin
Adeno-associated dependoparvovirus A,Monodelphis domestica
Adeno-associated dependoparvovirus A,Mops condylurus
Adeno-associated dependoparvovirus A,Mungos mungo
Adeno-associated dependoparvovirus A,Murina aurata
Adeno-associated dependoparvovirus A,Murina leucogaster
Adeno-associated dependoparvovirus A,Myotis blythii
Adeno-associated dependoparvovirus A,Myotis macrodactylus
Adeno-associated dependoparvovirus A,Myotis mystacinus
Adeno-associated dependoparvovirus A,Myotis ricketti
Adeno-associated dependoparvovirus A,Myrmecophaga tridactyla
Adeno-associated dependoparvovirus A,Neofelis nebulosa
Adeno-associated dependoparvovirus A,Neovison vison
Adeno-associated dependoparvovirus A,Nomascus leucogenys
Adeno-associated dependoparvovirus A,Nyctalus noctula
Adeno-associated dependoparvovirus A,Ochotona curzoniae
Adeno-associated dependoparvovirus A,Okapia johnstoni
Adeno-associated dependoparvovirus A,Onychogalea unguifera
Adeno-associated dependoparvovirus A,Oryctolagus cuniculus
Adeno-associated dependoparvovirus A,Otolemur crassicaudatus
Adeno-associated dependoparvovirus A,Ovis aries
Adeno-associated dependoparvovirus A,Pan paniscus
Adeno-associated dependoparvovirus A,Pan troglodytes
Adeno-associated dependoparvovirus A,Panthera leo
Adeno-associated dependoparvovirus A,Panthera tigris
Adeno-associated dependoparvovirus A,Panthera uncia
Adeno-associated dependoparvovirus A,Papio anubis
Adeno-associated dependoparvovirus A,Papio cynocephalus
Adeno-associated dependoparvovirus A,Papio hamadryas
Adeno-associated dependoparvovirus A,Papio papio
Adeno-associated dependoparvovirus A,Papio ursinus
Adeno-associated dependoparvovirus A,Pedetes capensis
Adeno-associated dependoparvovirus A,Perameles gunnii
Adeno-associated dependoparvovirus A,Perameles nasuta
Adeno-associated dependoparvovirus A,Petaurus breviceps
Adeno-associated dependoparvovirus A,Phascolarctos cinereus
Adeno-associated dependoparvovirus A,Phoca vitulina
Adeno-associated dependoparvovirus A,Phocoenoides dalli
Adeno-associated dependoparvovirus A,Piliocolobus badius
Adeno-associated dependoparvovirus A,Piliocolobus rufomitratus
Adeno-associated dependoparvovirus A,Piliocolobus tephrosceles
Adeno-associated dependoparvovirus A,Pipistrellus abramus
Adeno-associated dependoparvovirus A,Pipistrellus ceylonicus
Adeno-associated dependoparvovirus A,Plecotus auritus
Adeno-associated dependoparvovirus A,Pongo abelii
Adeno-associated dependoparvovirus A,Pongo pygmaeus
Adeno-associated dependoparvovirus A,Potorous tridactylus
Adeno-associated dependoparvovirus A,Procolobus verus
Adeno-associated dependoparvovirus A,Procyon lotor
Adeno-associated dependoparvovirus A,Pseudocheirus peregrinus
Adeno-associated dependoparvovirus A,Pseudomys novaehollandiae
Adeno-associated dependoparvovirus A,Pteropus alecto
Adeno-associated dependoparvovirus A,Pteropus hypomelanus
Adeno-associated dependoparvovirus A,Pteropus lylei
Adeno-associated dependoparvovirus A,Pteropus poliocephalus
Adeno-associated dependoparvovirus A,Pteropus rufus
Adeno-associated dependoparvovirus A,Pteropus scapulatus
Adeno-associated dependoparvovirus A,Puma concolor
Adeno-associated dependoparvovirus A,Pygathrix nemaeus
Adeno-associated dependoparvovirus A,Rattus lutreolus
Adeno-associated dependoparvovirus A,Rattus norvegicus
Adeno-associated dependoparvovirus A,Rattus rattus
Adeno-associated dependoparvovirus A,Rattus sordidus
Adeno-associated dependoparvovirus A,Rhabdomys pumilio
Adeno-associated dependoparvovirus A,Rhinoceros unicornis
Adeno-associated dependoparvovirus A,Rhinolophus affinis
Adeno-associated dependoparvovirus A,Rhinolophus hipposideros
Adeno-associated dependoparvovirus A,Rhinolophus rouxii
Adeno-associated dependoparvovirus A,Rousettus aegyptiacus
Adeno-associated dependoparvovirus A,Rousettus leschenaultii
Adeno-associated dependoparvovirus A,Saguinus midas
Adeno-associated dependoparvovirus A,Saimiri oerstedii
Adeno-associated dependoparvovirus A,Saimiri sciureus
Adeno-associated dependoparvovirus A,Saimiri ustus
Adeno-associated dependoparvovirus A,Sapajus apella
Adeno-associated dependoparvovirus A,Sapajus flavius
Adeno-associated dependoparvovirus A,Sapajus nigritus
Adeno-associated dependoparvovirus A,Sapajus xanthosternos
Adeno-associated dependoparvovirus A,Sarcophilus harrisii
Adeno-associated dependoparvovirus A,Sciurus griseus
Adeno-associated dependoparvovirus A,Scotophilus kuhlii
Adeno-associated dependoparvovirus A,Semnopithecus entellus
Adeno-associated dependoparvovirus A,Setonix brachyurus
Adeno-associated dependoparvovirus A,Sigmodon hispidus
